Nstars,cluster,MeanSNR,Na 1,errNa 1,NNa 1,Al 1,errAl 1,NAl 1,Mg 1,errMg 1,NMg 1,Si 1,errSi 1,NSi 1,Ca 1,errCa 1,NCa 1,Sc 2,errSc 2,NSc 2,Ti 1,errTi 1,NTi 1,Ti 2,errTi 2,NTi 2,V 1,errV 1,NV 1,Cr 1,errCr 1,NCr 1,Mn 1,errMn 1,NMn 1,Fe 1,errFe 1,NFe 1,Fe 2,errFe 2,NFe 2,Co 1,errCo 1,NCo 1,Ni 1,errNi 1,NNi 1,Cu 1,errCu 1,NCu 1,Zn 1,errZn 1,NZn 1,Y 2,errY 2,NY 2,Zr 1,errZr 1,NZr 1,Zr 2,errZr 2,NZr 2,Mo 1,errMo 1,NMo 1,Ba 2,errBa 2,NBa 2,Ce 2,errCe 2,NCe 2,Pr 2,errPr 2,NPr 2,Nd 2,errNd 2,NNd 2,oc,ageNN,err_ageNN,age,err_age,dist,X,Y,Z,Rgc,Na1Fe1,errNa1Fe1,Al1Fe1,errAl1Fe1,Mg1Fe1,errMg1Fe1,Si1Fe1,errSi1Fe1,Ca1Fe1,errCa1Fe1,Sc2Fe1,errSc2Fe1,Ti1Fe1,errTi1Fe1,Ti2Fe1,errTi2Fe1,V1Fe1,errV1Fe1,Cr1Fe1,errCr1Fe1,Mn1Fe1,errMn1Fe1,Co1Fe1,errCo1Fe1,Ni1Fe1,errNi1Fe1,Cu1Fe1,errCu1Fe1,Zn1Fe1,errZn1Fe1,Y2Fe1,errY2Fe1,Zr1Fe1,errZr1Fe1,Zr2Fe1,errZr2Fe1,Mo1Fe1,errMo1Fe1,Ba2Fe1,errBa2Fe1,Ce2Fe1,errCe2Fe1,Pr2Fe1,errPr2Fe1,Nd2Fe1,errNd2Fe1,ageNN_old,age_old
4.0,UBC_3,116.6969696969697,-0.18598635242568956,0.015620005755554453,4.0,-0.07122032475550491,0.019023154418319185,4.0,-0.08241403696752872,0.004215110869498398,4.0,-0.08342414572890862,0.022129097449197273,4.0,-0.07197593754460338,0.0035399024300833437,4.0,-0.12668558945376707,0.015099888635290253,4.0,-0.10584378581497944,0.010847324602734729,4.0,-0.07150198654312058,0.014471749747693509,4.0,-0.12799972782406968,0.015461098492205762,4.0,-0.08762007539306718,0.007508506199485631,4.0,-0.24699852831768165,0.017673004256500074,4.0,-0.08139165456728333,0.005993521588491326,4.0,-0.10641980618779766,0.01552494816589784,4.0,-0.16047774517897825,0.012610889130424484,4.0,-0.14897352150401094,0.005439632497496787,4.0,-0.1812530791598747,0.022465941598719338,4.0,-0.4600192911300924,0.08226604430454344,4.0,0.08251475064775875,0.043191544965318414,4.0,-0.06665415178026451,0.010764156611591923,3.0,-0.017823150247542566,0.019516780666676756,4.0,-0.11940310112848893,0.02250625552874948,4.0,0.37786263049838653,0.027414902381014204,4.0,0.06771521432726045,0.021594713147316324,4.0,-0.18773651273279907,0.04026990097529185,4.0,0.04709469517820487,0.0050540198117415905,4.0,UBC_3,8.301029995663981,0.062,0.20000000000000004,0.02063513802742989,1644.0,1172.0,1145.0,136.0,7258.0,-0.1045946978584062,0.016730417832058645,0.010171329811778415,0.019944991979314715,-0.0010223824002453946,0.007327309238313552,-0.0020324911616252943,0.022926387743117768,0.00941571702267996,0.006960834019442035,-0.045293934886483735,0.016245889874976972,-0.02445213124769612,0.0123930122274129,0.009889668024162744,0.01566377482574295,-0.04660807325678636,0.016582155095686415,-0.0062284208257838425,0.009607287149837137,-0.16560687375039834,0.018661655352138016,-0.0790860906116949,0.013962694069969807,-0.06758186693672764,0.008093942348419262,-0.09986142459259137,0.02325168451851993,-0.37862763656280907,0.08248408541378642,0.16390640521504207,0.043605410874372384,0.014737502787018809,0.012320282812930464,0.06356850431974076,0.020416342194988776,-0.03801144656120559,0.0232906384403064,0.45925428506567,0.028062415676349917,0.14910686889454378,0.022411022666236992,-0.10634485816551574,0.040713477198484574,0.1284863497454882,0.007839988347516091,8.301029995663981,0.20000000000000004
1.0,NGC_6475,302.0,-0.09936055433045143,0.0,1.0,-0.012958748229159768,0.0,1.0,-0.04750143304366139,0.0,1.0,-0.05808076918580887,0.0,1.0,-0.011378688129167744,0.0,1.0,-0.08357028861429792,0.0,1.0,-0.01138988977029487,0.0,1.0,0.00479412009819713,0.0,1.0,-0.025989360072555482,0.0,1.0,0.023694260719457544,0.0,1.0,-0.08466819096506932,0.0,1.0,-0.012464184524326058,0.0,1.0,-0.049170477360387134,0.0,1.0,-0.0718155273858036,0.0,1.0,-0.07557922984084196,0.0,1.0,-0.037573061557764936,0.0,1.0,-0.5401839359628802,0.0,1.0,0.2312027674326841,0.0,1.0,0.04697499999999999,0.0,1.0,0.047774999999999984,0.0,1.0,-0.02852500000000002,0.0,1.0,0.39563851762584384,0.0,1.0,0.14205,0.0,1.0,-0.19785,0.0,1.0,0.07143871612725845,0.0,1.0,NGC_6475,8.35,0.062,0.22387211385683375,0.0319600447104363,283.0,282.0,-20.0,-22.0,8057.0,-0.08689636980612539,0.0,-0.0004945637048337087,0.0,-0.03503724851933533,0.0,-0.04561658466148282,0.0,0.001085496395158314,0.0,-0.07110610408997188,0.0,0.0010742947540311881,0.0,0.017258304622523188,0.0,-0.01352517554822942,0.0,0.0361584452437836,0.0,-0.07220400644074328,0.0,-0.059351342861477537,0.0,-0.0631150453165159,0.0,-0.025108877033438882,0.0,-0.5277197514385541,0.0,0.24366695195701016,0.0,0.05943918452432605,0.0,0.060239184524326035,0.0,-0.016060815475673958,0.0,0.4081027021501699,0.0,0.15451418452432608,0.0,-0.18538581547567395,0.0,0.08390290065158451,0.0,8.35,0.22387211385683375
12.0,NGC_6705,68.96308724832215,0.1560659083402399,0.012157130330394348,12.0,0.05654972897271554,0.011949532981921312,12.0,0.012198445871680931,0.01161936472090639,12.0,0.0931632647845278,0.01619941117620213,12.0,0.0558665088233137,0.006644864756182475,12.0,0.08250922072552022,0.006546365816663093,12.0,0.043348382918793636,0.008790885664603962,12.0,0.06861622089721628,0.0155680560688304,12.0,0.06216890247049904,0.010154715743221882,12.0,0.03989965505941364,0.010326649532350485,12.0,0.07981262980257121,0.008853677621163238,12.0,0.04746697997923938,0.004334254195611596,12.0,0.0075411842697680935,0.02540758505141477,12.0,0.02117193577570349,0.007267679763918306,12.0,0.0570532739066115,0.006067645159358655,12.0,-0.07139927990216162,0.030233845213666555,12.0,-0.5003519913350617,0.03493283795299214,12.0,0.3146143372185753,0.040674135287654,12.0,-0.036723401249746976,0.015287394962533216,12.0,0.0346628164720111,0.03330767899802272,10.0,-0.0183168165856066,0.02434399401204463,12.0,0.23788212002271325,0.01349990302589852,12.0,0.05845578646952385,0.02293178220148663,12.0,-0.062088899833485374,0.033176770838676685,10.0,0.10794917095671658,0.021033256626409067,12.0,NGC_6705,8.48,0.062,0.30199517204020193,0.043112914040348366,2164.0,1921.0,991.0,-104.0,6494.0,0.10859892836100052,0.012906648569724477,0.00908274899347615,0.0127112980422222,-0.03526853410755845,0.01240142717390304,0.04569628480528843,0.01676921828493622,0.008399528844074314,0.00793347257259598,0.03504224074628084,0.007851156910784026,-0.004118597060445747,0.0098012973733234,0.021149240917976896,0.016160140135358467,0.014701922491259655,0.011041014955963742,-0.007567324919825744,0.011199350427420832,0.03234564982333183,0.009857655241063336,-0.02629504420353589,0.008461969545149899,0.009586293927372121,0.0074566800395393954,-0.118866259881401,0.030542939541506563,-0.5478189713143011,0.035200694977261235,0.2671473572393359,0.040904413463959566,-0.08419038122898638,0.015889940345157456,-0.012804163507228279,0.033588498621812506,-0.06578379656484598,0.024726823570581032,0.19041514004347387,0.014178615628503397,0.01098880649028447,0.023337788977720143,-0.10955587981272474,0.03345868919599578,0.0604821909774772,0.021475186698712487,8.48,0.30199517204020193
5.0,NGC_3532,176.8,-0.17164695932029994,0.011242715487944149,5.0,-0.07797957562484048,0.014068445294347469,5.0,-0.07913803456886996,0.009217956841293666,5.0,-0.08328467785655247,0.01739740710368796,5.0,-0.006914443587925157,0.016488672615844243,5.0,-0.0871448137444267,0.01437091630242972,5.0,-0.04160707490576837,0.012283748230154145,5.0,-0.013055233714347712,0.01638897991379399,5.0,-0.07521293771319144,0.014101901291273741,5.0,-0.015786180045244503,0.01504013099636324,5.0,-0.1663983258983808,0.01618520001587395,5.0,-0.03426375403567022,0.011550293251990286,5.0,-0.04696396410124011,0.01695378970313903,5.0,-0.1174895030182758,0.01229389156495995,5.0,-0.11051045857188974,0.012185287445266035,5.0,-0.08943009238856123,0.01225459122923793,5.0,-0.3431052263712146,0.0369840477709429,5.0,0.1040708661885987,0.023568822335372247,5.0,0.0022914076808218738,0.024158802868670514,5.0,-0.0070005811592837594,0.020900706947514967,5.0,-0.05473446757594068,0.030774651145073925,5.0,0.3902684579796722,0.012321494646932584,5.0,0.1258765541742965,0.02496154405685429,5.0,-0.1726823062276814,0.037414471069832186,4.0,0.09498764344222824,0.012181855550035469,5.0,NGC_3532,8.6,0.048,0.3981071705534969,0.04400043054386497,498.0,166.0,-469.0,12.0,8186.0,-0.13738320528462974,0.016118558426541484,-0.04371582158917025,0.0182024840944037,-0.044874280533199744,0.01477768596685303,-0.04902092382088225,0.02088250579165309,0.027349310447745058,0.020131706307202683,-0.052881059708756485,0.01843725873275126,-0.0073433208700981545,0.01686119049144476,0.0212085203213225,0.020050135581130498,-0.040949183677521234,0.0182283541285493,0.018477573990425714,0.01896351271770973,-0.13213457186271058,0.01988391243595733,-0.08322574898260557,0.016868581565086194,-0.07624670453621951,0.016789595121107906,-0.05516633835289101,0.01683996081951165,-0.3088414723355444,0.03874569735764681,0.13833462022426893,0.026246879061772543,0.03655516171649209,0.026777920573753576,0.02726317287638646,0.02387988327259731,-0.020470713540270462,0.03287078379515725,0.4245322120153424,0.016888709380570226,0.16014030820996672,0.027504326130797136,-0.13841855219201118,0.03915676084205999,0.12925139747789846,0.016787104540357825,8.6,0.3981071705534969
1.0,Stock_1,211.0,0.12043944566954855,0.0,1.0,0.08284125177084023,0.0,1.0,0.03659856695633861,0.0,1.0,0.09131923081419112,0.0,1.0,0.13132131187083226,0.0,1.0,0.08592971138570207,0.0,1.0,0.08591011022970513,0.0,1.0,0.14569412009819713,0.0,1.0,0.09661063992744454,0.0,1.0,0.14599426071945756,0.0,1.0,0.03103180903493068,0.0,1.0,0.12003581547567395,0.0,1.0,0.18032952263961285,0.0,1.0,0.0436844726141964,0.0,1.0,0.09922077015915803,0.0,1.0,0.0007269384422350643,0.0,1.0,-0.09568393596288016,0.0,1.0,0.2499027674326841,0.0,1.0,0.115975,0.0,1.0,0.11257499999999998,0.0,1.0,0.08137499999999999,0.0,1.0,0.4291385176258439,0.0,1.0,0.14345,0.0,1.0,0.017949999999999994,0.0,1.0,0.19913871612725845,0.0,1.0,Stock_1,8.64,0.048,0.43651583224016655,0.04824551271226066,410.0,203.0,356.0,14.0,8144.0,0.0004036301938746129,0.0,-0.03719456370483372,0.0,-0.08343724851933534,0.0,-0.02871658466148282,0.0,0.011285496395158315,0.0,-0.034106104089971875,0.0,-0.03412570524596882,0.0,0.025658304622523182,0.0,-0.023425175548229413,0.0,0.025958445243783587,0.0,-0.08900400644074327,0.0,-0.07635134286147753,0.0,-0.0208150453165159,0.0,-0.11930887703343887,0.0,-0.2157197514385541,0.0,0.1298669519570102,0.0,-0.004060815475673954,0.0,-0.007460815475673969,0.0,-0.03866081547567396,0.0,0.30910270215016994,0.0,0.023414184524326045,0.0,-0.10208581547567397,0.0,0.0791029006515845,0.0,8.64,0.43651583224016655
5.0,UBC_215,71.8,-0.11979564727832842,0.031220815394796424,5.0,-0.08487006914354688,0.01857843177963446,5.0,-0.12234447691693767,0.02073792877554826,5.0,-0.050506892852677135,0.027722017749784767,5.0,0.005853599005547418,0.02518407317676684,5.0,-0.01993012141169113,0.029040457223556193,5.0,-0.015221700151835696,0.023640391233162517,5.0,-0.016547027536245804,0.02223949609900146,5.0,-0.033369236346804235,0.02773852368148301,5.0,0.04677716075028476,0.03794735540565088,5.0,-0.17638933212173216,0.02454266283054126,5.0,-0.0045628562083266785,0.022825807041658038,5.0,0.0008271227696739901,0.049092098240794836,5.0,-0.09046143733592528,0.02143770917285009,5.0,-0.08060564225132777,0.01952611287731028,5.0,-0.14592645096824058,0.05197261392515192,5.0,-0.2093412031382429,0.06024146556982594,5.0,0.220150774303825,0.07681832111930757,5.0,-0.038809911193462936,0.03540863246718925,3.0,0.011299196901944487,0.051172122471701484,5.0,0.08130204955867586,0.07338258637057173,5.0,0.4284678772008689,0.04396958117993959,5.0,0.09340666687666918,0.08198634219519704,5.0,0.13827595424462147,0.051678885482381635,4.0,0.30838464241169644,0.0352643448233294,5.0,UBC_215,8.65,0.048,0.4466835921509635,0.04936929506744835,1372.0,-1099.0,-814.0,-107.0,9474.0,-0.11523279107000176,0.038675014945297216,-0.0803072129352202,0.029430861259798994,-0.117781620708611,0.03083957128435345,-0.045944036644350456,0.03590999492094628,0.010416455213874095,0.03398904248247885,-0.015367265203364453,0.036937320190509264,-0.01065884394350902,0.03286161232745576,-0.011984171327919124,0.031868678256879536,-0.028806380138477562,0.035922738803315084,0.051340016958611435,0.044283396994650115,-0.1718264759134055,0.03351655957756758,-0.08589858112759859,0.031314419069858324,-0.07604278604300109,0.03003808501220522,-0.14136359475991392,0.05676416180404587,-0.20477834692991626,0.06442089444507527,0.22471363051215168,0.0801378308085018,-0.034247054985136256,0.042128241362528934,0.01586205311027116,0.056032165631553284,0.08586490576700254,0.07685064378089118,0.4330307334091956,0.049541311410198886,0.09796952308499586,0.08510451088897082,0.14283881045294813,0.05649535088663599,0.31294749862002313,0.04200704087318797,8.65,0.4466835921509635
10.0,NGC_2099,69.35,-0.05012350291165648,0.03063338322562144,10.0,-0.060809645554487236,0.013304598778670702,10.0,-0.06460485399059716,0.008275351062292675,10.0,-0.03276644860421029,0.012282427300415335,10.0,0.03842682033076218,0.012811241395602892,10.0,-0.052617316103143165,0.009008952228610943,10.0,-0.03717538771177677,0.00898738464538725,10.0,-0.02262385389022205,0.0068110730501568136,10.0,-0.05239019899365605,0.010877458529280673,10.0,0.0008888732399131752,0.014829527236563094,10.0,-0.13302985627925798,0.011661529058769831,10.0,-0.0030090822751218183,0.0091959686325381,10.0,0.057132399528374664,0.014045887285462818,10.0,-0.10440318365245076,0.009888732424547896,10.0,-0.05796911666375619,0.011978624206334849,10.0,-0.1449769502796901,0.01336333588975659,10.0,-0.31967286693158325,0.04499437343948743,10.0,0.14980594591711713,0.023830833010096742,10.0,0.010179430654920149,0.03137843620229548,7.0,0.07950638784785923,0.03948887568094341,10.0,0.05823652029369589,0.057665852447178735,10.0,0.3640508476956888,0.0208880696620878,10.0,0.05097154773724558,0.020872244350612745,10.0,-0.08677826675419137,0.0340214906640925,9.0,0.08577990940486163,0.016733138542535598,10.0,NGC_2099,8.65,0.048,0.4466835921509635,0.04936929506744835,1384.0,-1380.0,56.0,74.0,9721.0,-0.04711442063653466,0.031983902309418236,-0.05780056327936544,0.016173378983750753,-0.06159577171547535,0.012371227679370109,-0.029757366329088476,0.015343528260495126,0.041435902605884,0.015770026797283315,-0.04960823382802134,0.012873502217656964,-0.03416630543665496,0.012858418326324866,-0.01961477161510024,0.01144362508933236,-0.049381116718534235,0.014243768572496731,0.0038979555150349936,0.017449375838424458,-0.13002077400413614,0.014851164906469726,-0.10139410137732892,0.013503809390499022,-0.054960034388634366,0.015101432944168441,-0.1419678680045683,0.016221731880199514,-0.31666378465646144,0.04592449760533779,0.15281502819223894,0.025543579252832627,0.013188512930041968,0.03269819716119151,0.08251547012298105,0.04054549471440234,0.0612456025688177,0.058394489273821175,0.3670599299708106,0.02282273632365009,0.0539806300123674,0.022808253403588587,-0.08376918447906953,0.0352424128869968,0.08878899167998346,0.01909355295837616,8.65,0.4466835921509635
2.0,NGC_6281,135.0,-0.21824490617629216,0.020508680312730197,2.0,-0.08570604200376856,0.004761200737577613,2.0,-0.06984399890972179,0.019477073909362642,2.0,-0.07411427141534149,0.016087412574682592,2.0,-0.031820633468937244,0.0158206922755929,2.0,-0.10658322776804804,0.001920508892159361,2.0,-0.06310538036324337,0.02019503913045556,2.0,-0.04408873066316593,0.020166120120781072,2.0,-0.1088303226577031,0.013305751484853023,2.0,-0.06088621818118401,0.01576337591700705,2.0,-0.181722399778148,0.03037411661683672,2.0,-0.05727027707485189,0.010461879824953772,2.0,-0.06725925499817746,0.01287831917538542,2.0,-0.13870308146605434,0.007799990070447628,2.0,-0.12904817542587,0.006323361816988727,2.0,-0.16572921986795644,0.0034243080792686125,2.0,-0.330977320195207,0.06423934893106131,2.0,0.07023222410000657,0.03088879853583525,2.0,-0.06480626233636462,0.010247390776767468,2.0,-0.022653872439241687,0.008095461064435878,2.0,-0.0823830460157926,0.016974991533500676,2.0,0.3490815278292479,0.0068042749639411655,2.0,0.02094567830581167,0.01439456281650505,2.0,-0.2814741878995249,0.004823946716164834,2.0,0.04434724911724838,0.026219631214296383,2.0,NGC_6281,8.71,0.048,0.5128613839913658,0.056683534922439084,532.0,520.0,-112.0,18.0,7820.0,-0.16097462910144028,0.02302296457108732,-0.028435764928916675,0.01149434478059904,-0.012573721834869898,0.0221089877095843,-0.016843994340489603,0.01918999147524121,0.025449643605914646,0.018966951087372463,-0.04931295069319614,0.01063669515764356,-0.005835103288391493,0.022744021960779195,0.013181546411685958,0.02271834787561688,-0.0515600455828512,0.016926132223530666,-0.003615941106332121,0.01891916884465733,-0.12445212270329607,0.032125346530815384,-0.08143280439120246,0.013049550742108191,-0.07177789835101811,0.012224395041895764,-0.10845894279310456,0.01100803412483442,-0.2737070431203551,0.06508567338945202,0.12750250117485848,0.03261240261709021,-0.007535985261512744,0.01464445107211444,0.034616404635610214,0.01322828104167628,-0.025112768940940715,0.019939941500270116,0.4063518049040998,0.01247994740600662,0.07821595538066356,0.017794784858212943,-0.22420391082467306,0.011520477047074582,0.10161752619210028,0.02822977135021607,8.71,0.5128613839913658
3.0,NGC_6645,74.33333333333333,-0.013197658828454034,0.044487319566017564,3.0,-0.061871244756540336,0.03987660532603975,3.0,-0.07037107980753599,0.0189249300904526,3.0,-0.02003413521201676,0.020887889876837564,3.0,0.06165592366136938,0.01871058086176397,3.0,-0.06941070314798503,0.021043679464978517,3.0,-0.018335957034446536,0.032251475412229336,3.0,-0.04401838978308818,0.011135281674697529,3.0,-0.010002922367713107,0.013033363930505618,3.0,0.02436722515253012,0.02454440930183548,3.0,-0.1721022383755522,0.018998860410010712,3.0,-0.004085315306736096,0.0033135065375305677,3.0,0.1299674845162223,0.06320957540713021,3.0,-0.08684231080680421,0.02214037643600688,3.0,-0.06794379739999974,0.020798873140617142,3.0,-0.1250443805001647,0.05292042875009663,3.0,-0.2405255352228368,0.09211093078275297,3.0,0.2655100903383891,0.005942847655299797,3.0,0.1270388876302673,0.010396651543578442,2.0,0.01838695571509457,0.12839519512245615,3.0,0.18135110084912007,0.0757589481481711,3.0,0.4264317499076955,0.02470379499461298,3.0,0.10441927306914996,0.09669524820311748,3.0,0.07282774067890929,0.1072396073954907,2.0,0.13391871897576044,0.03138165306255189,3.0,NGC_6645,8.71,0.048,0.5128613839913658,0.056683534922439084,1750.0,1680.0,474.0,-110.0,6675.0,-0.009112343521717938,0.04461054727016052,-0.057785929449804235,0.04001403476160583,-0.06628576450079987,0.019212816152318117,-0.015948819905280666,0.02114907253477445,0.06574123896810546,0.01900171470575395,-0.06532538784124893,0.021302952166284757,-0.01425064172771044,0.032421242910164495,-0.03993307447635209,0.01161782352891937,-0.005917607060977012,0.013447970141224386,0.028452540459266214,0.024767061867534586,-0.1680169230688161,0.019285642910033624,-0.08275699550006811,0.022386951429400708,-0.06385848209326364,0.02106115973762468,-0.1209590651934286,0.05302406156329701,-0.2364402199161007,0.09217050990007253,0.2695954056451252,0.006804172530760821,0.1311242029370034,0.010911905832293909,0.02247227102183066,0.12843794398894684,0.18543641615585613,0.07583137576288285,0.4305170652144316,0.024925023825668108,0.10850458837588607,0.0967520043752932,0.07691305598564539,0.10729078581086654,0.13800403428249652,0.03155610043260463,8.71,0.5128613839913658
2.0,FSR_0850,67.19148936170212,-0.22948745456798114,0.01332737506116363,2.0,-0.1207216158762186,0.09670070401994532,2.0,-0.07643870189145656,0.018553252852339053,2.0,-0.1805158901799227,0.008275664403710189,2.0,0.0053982520038699505,0.004049910397679422,2.0,-0.10931061495462427,0.020831560708977702,2.0,0.01019159502398062,0.012676342774306031,2.0,-0.1065671864344662,0.04651036584414585,2.0,-0.1001696545232916,0.01261808895525472,2.0,-0.06773727029932447,0.044964763496304905,2.0,-0.31788407638173594,0.02373421038175072,2.0,-0.035963061979892,0.00154890306486454,2.0,-0.06316127490639939,0.16044568842359005,2.0,-0.12178381839472605,0.03390208209304238,2.0,-0.16792833065828064,0.028649858467357982,2.0,-0.2402684456050323,0.039630122379518094,2.0,-0.25898393596288016,0.0,1.0,-0.012361674386571635,0.012633268304101886,2.0,0.263375,0.0,1.0,-0.042825000000000016,0.0,1.0,0.308775,0.0,1.0,0.4607251614614603,0.021663607978680936,2.0,0.3840071428571429,0.23135250072527144,2.0,,,0.0,0.19101054711317395,0.01997355422748981,2.0,FSR_0850,8.71,0.048,0.5128613839913658,0.056683534922439084,2126.0,-2121.0,-130.0,-85.0,10462.0,-0.19352439258808915,0.013417079664564605,-0.08475855389632657,0.09671310799812717,-0.04047563991156456,0.01861779503881096,-0.1445528282000307,0.008419365892226248,0.04136131398376195,0.0043359975707533156,-0.07334755297473225,0.02088906465776221,0.04615465700387262,0.012770621239236857,-0.0706041244545742,0.04653614972965249,-0.06420659254339961,0.01271279943942592,-0.03177420831943247,0.044991433151023115,-0.2819210144018439,0.02378469766781891,-0.08582075641483405,0.033937446441176626,-0.13196526867838865,0.028691697246834163,-0.2043053836251403,0.03966037948028142,-0.22302087398298814,0.00154890306486454,0.023601387593320363,0.012727865836336116,0.29933806197989193,0.00154890306486454,-0.0068619380201080105,0.00154890306486454,0.34473806197989193,0.00154890306486454,0.4966882234413523,0.02171890907385348,0.4199702048370349,0.23135768561372905,,,0.22697360909306594,0.020033521137903413,8.71,0.5128613839913658
3.0,UBC_59,68.66666666666667,-0.2307062664984313,0.052053995835095436,3.0,-0.11601186083262688,0.028527170380246682,3.0,-0.14420385146453474,0.027419845220154827,3.0,-0.16230049751014206,0.023294597824306627,3.0,-0.07015533933015976,0.05452605994226229,3.0,-0.16934935767711154,0.09160371803972198,3.0,-0.060308418116214825,0.04270140033471532,3.0,-0.1659405070953327,0.06504742444738243,3.0,-0.1384234481977086,0.04415703821642236,3.0,-0.06527893370717741,0.0723565236580926,3.0,-0.3590491508953811,0.03592920153932906,3.0,-0.10586510312907957,0.05722403558080241,3.0,-0.030191670285991738,0.06228810721747587,3.0,-0.19141860887087486,0.05788777731299695,3.0,-0.19371340143847507,0.038658546122950686,3.0,-0.2724275355427466,0.09714061279336976,3.0,-0.3138861934017802,0.16756060360553166,3.0,-0.18321554548431335,0.1269029350094492,3.0,-0.235525,0.0,1.0,-0.18176132090253835,0.4166049794321039,2.0,-0.05220732792492951,0.15809198023529678,3.0,0.3937744753790843,0.05424616544842562,3.0,0.19944109531461754,0.20723993648572966,3.0,-0.04284668473063437,0.03764298696716816,2.0,0.060370869120522974,0.03379113667284524,3.0,UBC_59,8.73,0.048,0.5370317963702532,0.05935494762172604,2445.0,-2306.0,746.0,316.0,10672.0,-0.12484116336935175,0.07735766756148399,-0.010146757703547324,0.06394051687354868,-0.0383387483354552,0.06345422097898758,-0.05643539438106246,0.06178372387570314,0.03570976379891981,0.07904227641572653,-0.063484254548032,0.10800847840264126,0.04555668501286475,0.07140027898193793,-0.060075403966253126,0.08663577595538037,-0.032558345068629035,0.07228024814705276,0.040586169421902164,0.0922499689107647,-0.25318404776630155,0.06756846728620285,-0.08555350574179528,0.08139769659143964,-0.0878482983093955,0.06905847838240606,-0.16656243241366706,0.1127425780352052,-0.20802109027270066,0.17706254863410004,-0.0773504423552338,0.1392082797902676,-0.12965989687092044,0.05722403558080241,-0.07589621777345879,0.420516704942594,0.053657775204150056,0.16812990353554125,0.4996395785081639,0.07884945601594792,0.3053061984436971,0.21499530581564386,0.0630184183984452,0.06849514374000051,0.16623597224960254,0.06645623496554591,8.73,0.5370317963702532
